house_id,area_sqft,bedrooms,bathrooms,stories,garage_spaces,age_years,distance_to_center_km,neighborhood,has_pool,has_garden,school_rating,crime_index,renovated,price
48,3036,5,4,1,3,12,9.6,Lakeside,0,1,7,7.7,1,579100
49,1948,4,3,1,1,12,9.1,Green Valley,0,0,7,4.4,0,316900
50,1511,2,2,1,2,36,1.4,Hillcrest,0,1,9,3.8,0,235800
51,2852,3,2,2,2,58,13.7,Downtown,0,1,8,3.7,0,437400
52,1931,1,1,2,2,11,3.0,Lakeside,0,0,6,6.0,0,355500
53,1856,2,2,1,1,12,14.1,Downtown,1,1,1,8.2,1,321100
54,1939,3,2,1,1,46,10.7,Downtown,0,1,1,1.4,0,268100
55,1727,2,1,1,2,59,17.9,Riverside,0,1,2,8.3,0,165000
56,1630,2,2,3,1,51,1.8,Lakeside,0,1,8,1.8,0,317100
57,1011,4,4,2,2,55,3.0,Riverside,0,0,7,6.0,1,195100
58,2076,5,3,2,1,52,22.2,Lakeside,1,0,10,2.7,0,357300
59,1748,4,2,1,1,33,1.2,Riverside,0,1,10,9.4,0,266700
60,2456,2,2,1,0,6,8.2,Old Town,0,0,5,1.2,0,263000
61,1597,3,2,2,3,2,1.6,Riverside,0,0,8,3.6,0,268900
62,751,1,1,1,1,54,0.5,Old Town,1,1,9,4.8,0,148700
63,1745,3,2,2,1,54,3.5,Riverside,1,1,3,3.7,0,250200
64,2735,5,3,2,0,34,4.1,Green Valley,0,1,6,5.6,0,397700
65,1589,2,1,2,0,14,19.2,Downtown,0,0,2,5.2,0,205300
66,1311,4,3,1,2,37,4.8,Riverside,0,1,5,2.9,1,231100
67,1144,3,3,2,2,39,3.1,Downtown,0,0,1,5.7,1,231100
68,1222,3,3,1,0,27,6.3,Green Valley,0,1,5,7.4,0,217400
69,1635,4,3,2,2,26,0.7,Hillcrest,0,1,7,3.1,0,282200
70,1151,3,2,2,2,14,1.2,Green Valley,1,1,5,8.1,0,265600
71,2624,3,3,2,1,38,20.5,Old Town,0,1,5,4.4,1,259700
72,1645,4,4,2,2,27,12.0,Hillcrest,0,1,5,6.3,0,243700
73,1860,2,2,2,1,42,25.5,Hillcrest,0,1,2,9.8,0,187200
74,2591,2,2,1,1,22,0.5,Downtown,0,1,4,6.6,0,393200
75,2627,3,2,3,3,57,20.1,Green Valley,0,0,7,7.6,0,319300
76,1683,3,3,1,3,42,14.3,Hillcrest,0,1,1,2.6,0,198400
77,1983,3,2,2,3,59,7.1,Hillcrest,1,1,10,1.0,0,316400
78,2204,3,3,2,1,50,27.5,Old Town,0,0,6,2.2,0,218400
79,1694,5,4,2,2,59,25.2,Downtown,0,1,4,7.0,1,259900
80,822,3,2,1,2,31,18.4,Riverside,0,1,6,5.5,0,160400
81,2160,3,3,2,2,16,0.5,Green Valley,1,1,8,6.5,0,384100
82,2292,4,2,1,2,49,6.3,Green Valley,0,0,10,6.6,1,317400
83,2029,4,3,1,2,32,23.6,Lakeside,0,0,3,1.5,0,303100
84,1292,4,4,1,3,55,2.9,Hillcrest,1,1,1,8.3,1,218300
85,1692,5,4,1,1,21,11.3,Old Town,0,1,5,1.4,0,210100
86,1475,2,2,2,1,23,7.6,Green Valley,0,1,8,8.2,0,262600
87,1635,3,3,2,1,12,7.5,Riverside,0,1,4,9.3,0,209100
88,2513,4,3,2,2,59,6.8,Hillcrest,0,0,9,1.1,0,326800
89,2641,6,5,1,2,39,1.3,Hillcrest,0,0,3,1.0,0,397000
90,2168,2,2,2,2,8,0.5,Riverside,0,0,8,9.3,1,338900
91,2102,4,4,2,1,21,2.0,Lakeside,1,1,2,7.3,0,413700
92,2172,2,1,3,1,6,13.7,Downtown,0,0,5,6.1,1,348500
93,1793,3,2,2,2,21,0.6,Green Valley,0,1,7,8.3,1,341700
94,1758,4,4,2,2,2,0.5,Lakeside,1,1,6,6.9,0,389800
95,1429,4,4,1,3,52,3.5,Old Town,0,1,6,9.1,1,214600
96,1769,2,2,2,0,15,8.9,Riverside,0,0,7,8.7,0,239200
97,3043,3,3,2,2,28,2.4,Riverside,0,0,3,6.3,0,408600
98,2278,5,5,3,2,52,10.2,Green Valley,0,1,8,9.4,0,341000
99,1612,3,2,3,2,53,12.5,Old Town,0,1,7,2.5,1,237600
100,1540,4,3,1,1,52,3.8,Downtown,0,0,4,5.3,1,258200
101,1325,3,3,2,2,44,13.0,Green Valley,0,1,10,5.4,0,233500
102,2006,3,2,2,2,14,3.4,Hillcrest,0,1,10,2.5,0,307700
103,2015,3,2,3,0,1,4.7,Riverside,1,1,3,5.6,0,292200
104,1006,2,1,1,2,40,22.7,Old Town,0,1,7,6.3,0,81300
105,2067,3,3,1,0,24,10.9,Hillcrest,1,0,1,3.4,0,264500
106,1487,3,2,2,2,3,12.7,Downtown,1,0,3,9.8,1,282600
107,2585,3,3,1,1,17,40.0,Green Valley,0,1,6,3.3,1,315700
108,1886,3,3,1,1,7,4.1,Green Valley,0,1,6,4.4,0,294700
109,2745,3,2,3,1,25,0.6,Lakeside,0,1,7,1.5,0,444900
110,1548,3,2,3,1,19,8.4,Hillcrest,0,0,1,1.9,0,207600
111,1642,5,3,2,0,36,3.9,Lakeside,0,0,3,6.2,0,302500
112,1965,5,3,2,2,43,17.5,Old Town,0,1,4,3.3,1,248300
113,2381,5,5,1,2,13,28.1,Green Valley,0,1,1,8.9,0,324200
114,2111,2,2,1,1,13,5.6,Downtown,0,0,5,3.2,1,364000
115,1122,4,4,1,3,29,33.1,Green Valley,0,1,6,2.5,0,187200
116,1901,4,2,2,0,8,4.6,Downtown,1,0,2,5.1,0,319300
117,1812,3,3,2,1,23,13.8,Lakeside,1,1,7,8.6,1,337200
118,1564,3,3,2,1,5,14.8,Lakeside,0,0,7,2.3,0,369700
119,1444,5,3,2,1,45,12.7,Riverside,0,0,7,7.6,0,210900
120,2761,4,2,2,2,15,6.2,Hillcrest,0,1,6,2.6,1,411000
121,1585,4,4,2,1,54,36.9,Hillcrest,0,0,7,4.4,1,164400
122,1335,2,1,1,1,45,8.2,Riverside,0,1,2,5.1,0,184900
123,2150,2,1,1,1,4,1.7,Riverside,0,1,4,9.8,0,256000
124,1872,4,4,1,2,16,1.3,Old Town,0,1,5,1.7,0,229900
125,1758,4,4,2,2,4,4.2,Lakeside,0,1,6,8.4,0,371900
126,2230,2,2,1,0,37,4.8,Hillcrest,0,0,5,2.7,0,262300
127,2069,1,1,2,3,26,10.9,Green Valley,0,0,8,9.5,0,272300
128,1999,2,2,2,0,4,14.2,Hillcrest,0,1,3,7.9,1,295000
129,2330,4,2,2,1,32,3.8,Downtown,1,0,9,4.9,0,411200
130,1956,3,2,2,1,2,8.0,Old Town,0,1,1,9.0,1,229300
131,1461,4,4,2,2,10,2.4,Downtown,0,0,9,3.7,0,317600
132,1601,2,1,1,2,21,1.4,Lakeside,0,0,7,4.5,0,295600
133,1513,4,3,2,2,14,6.7,Downtown,1,1,3,8.2,1,325300
134,1915,2,2,2,3,55,8.1,Lakeside,0,0,9,6.9,1,355600
135,1207,5,3,2,1,0,7.7,Lakeside,0,1,1,1.1,0,269400
136,792,3,2,2,2,17,0.5,Hillcrest,0,1,5,6.8,0,155500
137,1848,1,1,2,1,2,22.6,Lakeside,0,1,2,8.7,1,268800
138,1065,4,4,2,1,53,11.3,Lakeside,1,1,4,6.9,1,244800
139,726,3,3,2,2,23,20.0,Lakeside,0,0,10,6.0,1,212700
140,2005,3,3,3,3,40,40.0,Riverside,0,1,9,3.4,0,261100
141,1409,2,1,2,0,57,1.3,Downtown,0,0,9,4.0,0,220300
142,2073,2,2,3,2,55,7.7,Downtown,0,1,4,4.1,0,288300
143,1508,3,2,3,2,22,1.3,Lakeside,0,1,5,6.5,0,298800
144,1183,3,3,1,3,2,8.0,Lakeside,0,1,7,5.2,0,257100
145,1116,3,2,1,1,32,21.1,Green Valley,1,1,8,1.7,0,236400
146,1517,3,3,2,1,27,7.0,Lakeside,0,0,8,5.8,1,295500
147,1650,3,2,1,3,53,0.9,Riverside,0,1,6,9.9,1,243000
148,1347,1,1,2,2,58,9.5,Old Town,0,1,4,1.3,0,147500
149,1645,3,3,1,0,56,21.9,Old Town,0,0,3,2.7,0,140100
150,955,4,2,1,2,29,15.7,Lakeside,0,0,7,3.5,1,259900
151,1808,5,4,1,1,54,23.0,Riverside,0,1,5,2.1,0,291500
152,813,4,3,1,3,48,0.8,Riverside,0,0,8,3.2,0,174500
153,1693,2,2,1,1,48,18.4,Green Valley,0,0,9,6.0,1,206600
154,2184,3,3,1,2,58,3.9,Old Town,0,1,6,5.1,0,236100
155,2401,4,3,1,1,7,1.8,Green Valley,0,1,1,5.5,0,361300
156,2743,4,3,1,2,25,4.0,Downtown,0,1,2,9.7,0,388200
157,944,2,2,1,2,38,0.7,Old Town,1,1,9,4.3,0,181100
158,2217,1,1,2,1,53,2.8,Old Town,0,1,1,3.9,0,196500
159,2463,3,3,1,0,34,6.7,Old Town,0,1,10,3.0,0,311500
160,2339,3,2,2,1,11,0.5,Hillcrest,0,0,5,9.6,0,280800
161,1289,2,2,1,2,44,1.4,Lakeside,0,1,3,1.9,0,244200
162,2026,3,2,3,1,16,1.5,Lakeside,1,0,3,7.7,0,378000
163,2823,3,3,1,3,23,9.7,Green Valley,0,1,8,6.7,0,400300
164,976,4,2,2,2,45,13.4,Hillcrest,0,1,6,6.0,0,176400
165,2062,3,3,1,1,37,6.2,Old Town,0,1,6,2.7,0,224700
166,2412,4,4,3,0,11,18.1,Lakeside,0,1,3,2.0,0,383100
167,1417,4,4,1,1,40,1.0,Hillcrest,0,0,4,1.6,1,222700
168,2121,2,2,1,2,9,19.5,Old Town,1,1,8,2.7,0,257900
169,1211,5,5,1,1,23,13.3,Green Valley,1,0,6,6.4,0,274400
170,1353,2,1,1,2,55,1.3,Riverside,0,1,8,9.5,0,174600
171,1351,3,2,3,2,36,3.6,Green Valley,0,0,3,6.0,0,215400
172,1906,2,1,3,1,40,3.1,Hillcrest,1,0,8,7.3,1,277300
173,1750,3,2,1,0,13,2.9,Hillcrest,0,1,4,7.9,0,235600
174,2325,3,3,1,1,39,15.0,Old Town,0,1,9,6.1,1,275200
175,1283,4,4,2,1,39,1.9,Riverside,1,1,6,5.9,1,297700
176,1728,4,4,3,1,40,3.1,Lakeside,0,0,1,6.2,0,262900
177,2329,3,2,3,1,50,1.6,Riverside,0,1,6,2.2,0,326900
178,2108,3,2,2,2,28,7.7,Green Valley,0,0,6,7.9,0,271500
179,1071,5,4,2,3,18,6.5,Hillcrest,1,1,3,9.7,1,209500
180,2166,2,1,1,2,47,14.8,Downtown,0,1,3,4.7,1,314400
181,1537,3,3,1,2,59,12.9,Green Valley,1,1,3,3.5,1,284300
182,2012,4,4,1,1,45,20.2,Old Town,0,1,1,6.9,0,189000
183,1965,4,3,2,2,22,4.6,Hillcrest,0,1,10,2.3,1,330400
184,2471,2,2,2,2,40,2.7,Riverside,0,1,4,5.2,0,322700
185,1864,3,2,2,0,54,8.9,Old Town,1,0,6,6.0,0,187300
186,780,2,2,2,1,26,1.6,Green Valley,0,1,5,2.7,0,193800
187,1047,4,3,2,2,36,1.7,Riverside,1,0,1,9.2,0,187800
188,2202,4,3,1,2,0,13.7,Downtown,1,0,6,2.7,0,401200
189,1658,4,4,1,1,18,10.7,Riverside,0,1,4,8.3,0,241200
190,2426,3,2,2,0,6,1.2,Green Valley,1,0,5,7.5,0,378600
191,1950,1,1,2,2,54,1.1,Riverside,0,1,3,8.1,0,270500
192,1388,5,3,2,2,12,22.2,Riverside,0,1,2,3.5,1,261800
193,2395,2,1,3,0,13,22.3,Downtown,0,0,4,3.3,1,360500
194,1356,2,2,3,1,13,19.1,Green Valley,0,1,1,1.3,1,183800
195,671,1,1,2,1,35,11.7,Lakeside,0,0,2,3.0,1,143200
196,2935,3,3,1,1,4,3.7,Old Town,0,1,5,4.8,1,341000
197,749,4,3,2,2,27,9.5,Lakeside,0,0,2,4.4,0,196000
198,2150,5,3,2,1,38,0.9,Hillcrest,0,1,4,1.9,1,343300
199,2316,3,2,3,0,19,6.1,Riverside,0,1,2,9.5,0,271800
200,1881,2,2,2,1,57,3.0,Riverside,0,0,1,8.5,0,211200
201,874,5,5,2,1,56,8.7,Green Valley,0,0,7,6.9,1,189300
202,2358,2,1,3,3,21,0.7,Downtown,0,1,1,2.3,1,412500
203,1007,2,2,2,3,58,1.1,Hillcrest,0,0,4,7.1,0,116500
204,1061,2,2,2,1,58,1.2,Downtown,0,1,2,10.0,0,182100
205,1601,5,4,1,0,44,0.5,Green Valley,0,0,4,8.0,0,256600
206,2234,3,2,2,1,45,9.0,Downtown,0,0,7,3.1,1,353800
207,1965,4,3,1,2,1,40.0,Lakeside,0,1,2,5.9,0,341300
208,2246,3,2,1,3,7,16.7,Downtown,0,1,3,6.9,0,334500
209,1556,3,2,1,0,42,4.6,Lakeside,0,1,4,2.9,1,272400
210,1705,4,3,3,1,29,16.1,Hillcrest,0,0,3,4.8,0,221300
211,1175,2,1,1,3,12,5.2,Green Valley,0,1,7,9.7,0,210400
212,1626,3,2,1,1,39,5.1,Hillcrest,0,0,1,1.7,0,191400
213,2126,5,5,2,3,10,0.8,Lakeside,1,1,6,5.7,0,465100
214,1635,4,4,2,2,46,6.0,Hillcrest,0,1,9,6.7,1,284200
215,2062,3,3,1,1,35,9.1,Downtown,1,1,7,7.1,0,332700
216,1485,4,3,1,0,22,2.7,Old Town,1,1,4,7.4,0,207000
217,1474,4,3,1,2,50,0.5,Downtown,0,0,5,3.6,0,250100
218,1822,4,3,1,2,49,0.5,Hillcrest,0,1,7,5.7,0,266300
219,1693,3,2,1,3,11,26.8,Hillcrest,0,0,10,4.9,1,259900
220,2126,4,4,1,0,48,2.4,Green Valley,0,1,4,8.4,1,304700
221,1898,2,2,2,1,35,17.6,Riverside,0,0,1,9.1,0,190600
222,2757,3,3,2,2,48,3.9,Green Valley,0,1,9,5.0,0,398100
223,1679,5,4,2,1,25,3.1,Riverside,0,0,1,8.5,1,293100
224,1675,5,4,2,2,24,15.5,Lakeside,0,1,5,2.4,1,382400
225,1228,1,1,2,2,18,1.3,Hillcrest,0,0,9,6.3,0,196700
226,1813,3,3,1,2,42,5.9,Downtown,0,0,10,7.5,0,314100
227,2176,3,3,3,0,0,3.9,Downtown,0,1,9,4.9,0,411300
228,1393,3,3,1,3,40,28.3,Hillcrest,0,0,3,7.2,0,123200
229,1773,3,3,2,1,56,7.6,Old Town,0,0,4,7.7,0,168400
230,2195,3,2,1,2,57,10.2,Green Valley,1,0,5,8.2,0,289500
231,1730,3,3,2,1,42,0.7,Downtown,0,1,6,9.7,1,284900
232,1514,2,2,3,2,1,3.8,Green Valley,0,0,9,1.8,1,283000
233,2335,4,4,1,1,5,4.0,Downtown,1,0,4,8.5,0,408000
234,1853,1,1,2,2,57,0.5,Lakeside,0,1,1,2.2,1,292900
235,2018,5,3,1,1,55,12.3,Green Valley,1,1,3,3.6,1,314600
236,2444,2,2,2,1,0,22.5,Riverside,0,1,3,2.6,1,387400
237,2430,5,3,1,1,50,12.5,Riverside,0,1,5,7.1,0,295200
238,1609,4,2,2,1,1,9.9,Old Town,0,1,9,6.7,0,222200
239,1511,5,4,1,2,32,3.2,Green Valley,1,1,3,1.6,0,316600
240,1956,3,3,3,0,2,3.0,Green Valley,0,0,6,5.0,1,320400
241,1727,3,2,2,1,18,0.6,Hillcrest,0,0,7,6.3,0,252300
242,755,4,2,2,1,5,1.2,Green Valley,1,1,7,2.0,0,250900
243,2501,2,2,2,1,57,1.5,Downtown,0,0,9,6.8,0,365200
244,1811,3,3,1,3,35,6.7,Riverside,1,0,8,7.9,0,284700
245,2205,3,3,1,1,43,2.6,Green Valley,0,1,2,7.8,0,294600
246,1155,2,1,1,1,42,5.2,Green Valley,1,1,10,7.0,0,239400
247,2509,4,3,2,1,57,0.5,Riverside,0,0,9,4.7,0,363600
248,1476,3,3,2,2,58,13.0,Hillcrest,0,1,6,4.0,1,173300
249,1741,3,3,2,1,41,0.5,Riverside,0,1,2,4.0,1,252000
250,1029,4,3,2,1,7,9.8,Old Town,0,1,6,8.4,0,184300
251,1708,5,3,3,2,10,1.2,Old Town,1,0,8,4.2,0,289100
252,1674,2,1,1,3,24,2.1,Hillcrest,0,1,9,9.1,0,252400
253,1698,2,1,2,0,0,1.1,Lakeside,0,1,1,5.9,0,284700
254,2041,2,2,2,1,38,2.8,Green Valley,0,1,9,3.6,0,339900
255,1833,5,3,1,1,13,16.1,Lakeside,0,1,8,6.9,1,373300
256,2337,3,2,1,2,13,9.3,Green Valley,0,1,7,6.6,0,364300
257,1543,4,4,3,2,46,2.8,Riverside,0,1,8,3.1,0,315500
258,1252,2,2,1,2,20,17.5,Hillcrest,0,1,5,9.5,1,172500
259,1789,5,3,1,0,40,1.1,Old Town,0,1,8,4.4,1,208600
260,2146,2,2,1,1,9,2.9,Green Valley,0,0,9,7.6,0,322900
261,2485,4,2,1,1,45,3.8,Hillcrest,1,0,3,7.9,0,321500
262,2248,1,1,1,2,13,0.8,Hillcrest,1,0,8,6.9,0,262700
263,829,5,4,1,2,57,1.2,Riverside,0,1,3,9.1,0,167100
264,2007,3,3,2,2,8,1.6,Lakeside,1,1,5,7.4,0,399700
265,2603,4,4,2,1,54,14.1,Old Town,0,1,5,5.5,1,271200
266,1834,4,3,2,0,28,1.0,Riverside,0,1,3,2.2,0,279400
267,1516,2,1,2,1,43,20.5,Riverside,0,0,4,8.9,1,139700
268,1970,3,2,3,0,5,7.1,Green Valley,0,0,1,8.3,0,282700
269,1523,1,1,1,3,13,3.2,Lakeside,0,0,2,6.9,0,248000
270,2152,4,3,2,3,42,0.9,Lakeside,0,1,6,6.1,0,405000
271,1793,3,2,2,2,31,27.1,Green Valley,1,1,8,7.5,1,267600
272,2566,3,2,1,3,12,14.0,Lakeside,0,0,1,2.7,0,389800
273,2075,3,3,1,2,42,7.8,Old Town,0,0,4,8.5,0,196500
274,1402,3,3,1,1,20,24.9,Green Valley,0,1,1,5.2,1,214200
275,2133,2,2,1,2,22,2.4,Hillcrest,0,1,9,2.7,1,298600
276,2315,3,2,1,1,50,3.3,Riverside,0,0,7,1.1,0,259100
277,1487,4,4,1,3,20,1.7,Downtown,0,1,4,1.1,0,315200
278,1566,3,3,1,2,5,8.5,Green Valley,0,1,2,8.0,1,286800
279,532,6,6,1,2,38,0.5,Downtown,1,1,4,9.5,0,237600
280,2297,4,3,1,2,15,26.3,Riverside,0,0,7,2.2,0,292400
281,1477,4,2,2,2,59,1.3,Old Town,0,0,7,6.1,0,183300
282,633,2,1,1,2,22,7.6,Downtown,0,1,2,6.8,0,116000
283,827,3,2,1,1,0,4.0,Hillcrest,0,0,9,7.6,0,175600
284,1677,2,2,3,1,2,8.6,Green Valley,1,1,8,8.2,0,311400
285,2218,2,2,1,1,17,0.8,Old Town,1,0,9,9.7,0,264200
286,1751,3,2,3,1,10,1.6,Lakeside,1,1,6,4.2,0,367900
287,2059,3,3,2,1,14,0.5,Riverside,0,1,1,8.9,0,285800
288,1194,3,3,1,2,58,3.0,Hillcrest,0,1,8,6.0,0,187800
289,1062,3,2,1,2,32,6.9,Hillcrest,0,0,5,5.8,1,205000
290,2287,3,2,2,1,28,9.6,Lakeside,0,0,2,6.7,0,313800
291,2071,6,5,1,1,23,8.5,Green Valley,0,1,10,4.8,0,368300
292,1783,3,3,1,3,17,9.0,Downtown,0,1,7,8.7,0,311900
293,2505,5,4,2,2,55,2.2,Riverside,0,1,1,7.3,1,410300
294,1277,6,6,1,0,16,16.9,Riverside,0,0,10,6.6,0,230500
295,1569,4,4,1,1,48,5.2,Downtown,0,1,10,3.6,0,313300
296,2365,6,4,2,1,29,7.7,Old Town,0,0,4,1.5,0,263700
297,2811,6,6,1,1,14,1.6,Old Town,1,0,9,3.5,0,358600
298,1805,4,3,2,1,8,6.2,Hillcrest,0,0,5,2.8,0,278200
299,2724,4,2,2,3,4,0.5,Green Valley,0,1,2,2.1,0,446500
300,1469,2,2,1,1,26,0.5,Old Town,0,0,8,1.6,0,206500
301,1981,2,2,3,2,11,26.3,Riverside,0,1,1,9.4,1,279800
302,1704,2,2,1,1,17,5.1,Hillcrest,0,1,7,6.2,1,255700
303,926,2,2,2,0,59,14.2,Hillcrest,0,0,5,1.1,0,86900
304,1942,3,2,2,0,7,0.5,Riverside,1,0,7,4.1,0,325500
305,2313,3,2,1,3,37,6.8,Downtown,0,1,3,8.4,0,335300
306,1718,4,3,2,1,28,0.5,Lakeside,0,1,4,5.2,0,325200
307,1761,3,3,1,2,58,1.2,Hillcrest,0,1,2,6.6,1,221900
308,2566,4,2,1,2,52,1.7,Old Town,1,0,2,9.8,0,239000
309,1113,3,2,3,2,4,13.5,Riverside,0,1,6,6.3,1,244900
310,976,2,2,1,1,34,10.3,Riverside,0,0,2,1.9,0,128900
311,1440,4,4,1,1,9,0.7,Riverside,1,1,10,3.5,0,318100
312,1142,3,3,2,3,26,17.4,Hillcrest,0,1,10,5.6,1,230400
313,2540,3,3,1,2,29,2.9,Old Town,0,0,3,5.2,1,287900
314,1970,3,2,1,1,27,4.3,Hillcrest,0,1,4,3.7,1,279900
315,1325,4,3,1,2,47,1.5,Old Town,0,0,7,3.7,0,180600
316,1462,2,2,2,2,23,8.1,Old Town,1,0,3,5.4,1,189400
317,3374,2,1,2,1,13,1.5,Old Town,0,1,9,3.6,1,374000
318,1464,4,2,1,1,46,26.9,Old Town,0,1,8,4.5,0,156200
319,1381,3,3,2,2,5,1.3,Hillcrest,1,1,4,2.3,0,307800
320,1967,4,4,2,1,20,2.9,Old Town,0,1,8,7.0,1,284900
321,2151,2,2,1,1,11,0.7,Lakeside,0,0,2,6.9,0,337400
322,1922,4,2,3,2,49,0.5,Downtown,0,0,1,6.3,1,318100
323,1300,1,1,2,2,40,7.7,Hillcrest,0,0,3,9.1,0,150200
324,1162,5,3,2,2,23,6.5,Downtown,0,1,1,4.2,0,253100
325,2128,5,3,2,1,37,8.4,Old Town,0,1,8,9.4,1,269700
326,1770,4,2,3,2,44,4.9,Hillcrest,0,0,4,4.0,0,220000
327,897,3,2,1,1,4,0.5,Green Valley,0,0,9,9.6,0,217100
328,2444,4,4,2,0,40,9.2,Riverside,0,1,3,3.1,1,313700
329,2226,6,6,2,2,0,8.1,Downtown,0,0,4,1.5,1,467300
330,1667,4,4,1,0,22,6.9,Hillcrest,1,1,8,6.6,1,298200
331,1657,4,3,2,2,45,1.0,Riverside,0,1,4,4.6,0,262800
332,1927,1,1,3,1,51,2.0,Lakeside,0,0,10,3.1,0,270100
333,1422,1,1,2,2,32,6.9,Old Town,1,1,2,4.0,0,186700
334,1058,4,3,1,1,59,8.9,Green Valley,0,0,7,8.2,0,161800
335,1977,3,3,2,2,39,5.5,Downtown,0,1,5,5.2,1,370600
336,1009,3,2,1,2,44,4.4,Riverside,0,1,4,1.7,0,174300
337,2015,2,1,1,1,36,15.8,Lakeside,1,1,6,6.0,0,313100
338,1007,3,2,1,2,11,25.1,Hillcrest,1,1,6,7.6,1,155400
339,1745,5,4,2,3,44,2.5,Riverside,0,1,4,5.1,0,286300
340,1725,3,2,1,2,16,1.7,Lakeside,1,1,1,4.2,0,329400
341,2780,6,3,2,1,5,33.9,Lakeside,0,0,2,3.8,0,403200
342,1215,2,2,2,2,30,0.6,Hillcrest,1,0,6,5.8,1,224900
343,1022,3,3,3,1,3,0.5,Lakeside,0,1,9,3.4,0,248300
344,1445,4,3,1,0,23,7.1,Lakeside,0,1,3,8.1,1,286600
345,1182,4,3,3,1,38,9.0,Downtown,0,0,5,2.3,0,237400
346,1476,4,4,1,0,13,5.0,Green Valley,1,1,2,3.0,0,259800
347,2031,4,3,2,0,46,5.9,Old Town,0,0,7,8.7,1,236400
348,2225,4,4,2,1,18,2.2,Riverside,1,0,7,5.2,0,362400
349,2713,2,2,2,1,56,2.2,Old Town,0,0,7,9.3,1,273700
